"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
1071,0,0,0,1001.3,0.42,0,0.24
1072,0,0,0,1001.2,0.42,0,0.26
1073,0,0,0,1001.1,0.42,0,0.28
1074,0,0,0,1001,0.42,0,0.3
1075,0,0,0,1000.9,0.42,0,0.32
1076,0,0,0,1000.8,0.42,0,0.34
1077,0,0,0,1000.7,0.42,0,0.36
1078,0,0,0,1000.5,0.42,0,0.38
1079,0,0,0,1000.4,0.42,0,0.4
1080,0,0,0,1000.3,0.42,0,0.42
1081,0,0,0,1000.2,0.42,0,0.44
1082,0,0,0,1000.1,0.42,0,0.46
1083,0,0,0,1000,0.42,0,0.48
1084,0,0,0,1002.5,0.44,0,0.02
1085,0,0,0,1002.4,0.44,0,0.04
1086,0,0,0,1002.3,0.44,0,0.06
1087,0,0,0,1002.2,0.44,0,0.08
1088,0,0,0,1002.1,0.44,0,0.1
1089,0,0,0,1001.9,0.44,0,0.12
1090,0,0,0,1001.8,0.44,0,0.14
1091,0,0,0,1001.7,0.44,0,0.16
1092,0,0,0,1001.6,0.44,0,0.18
1093,0,0,0,1001.5,0.44,0,0.2
1094,0,0,0,1001.4,0.44,0,0.22
1095,0,0,0,1001.3,0.44,0,0.24
1096,0,0,0,1001.2,0.44,0,0.26
1097,0,0,0,1001.1,0.44,0,0.28
1098,0,0,0,1001,0.44,0,0.3
1099,0,0,0,1000.9,0.44,0,0.32
1100,0,0,0,1000.8,0.44,0,0.34
1101,0,0,0,1000.7,0.44,0,0.36
1102,0,0,0,1000.5,0.44,0,0.38
1103,0,0,0,1000.4,0.44,0,0.4
1104,0,0,0,1000.3,0.44,0,0.42
1105,0,0,0,1000.2,0.44,0,0.44
1106,0,0,0,1000.1,0.44,0,0.46
1107,0,0,0,1000,0.44,0,0.48
1108,0,0,0,1002.5,0.46,0,0.02
1109,0,0,0,1002.4,0.46,0,0.04
1110,0,0,0,1002.3,0.46,0,0.06
1111,0,0,0,1002.2,0.46,0,0.08
1112,0,0,0,1002.1,0.46,0,0.1
1113,0,0,0,1001.9,0.46,0,0.12
1114,0,0,0,1001.8,0.46,0,0.14
1115,0,0,0,1001.7,0.46,0,0.16
1116,0,0,0,1001.6,0.46,0,0.18
1117,0,0,0,1001.5,0.46,0,0.2
1118,0,0,0,1001.4,0.46,0,0.22
1119,0,0,0,1001.3,0.46,0,0.24
1120,0,0,0,1001.2,0.46,0,0.26
1121,0,0,0,1001.1,0.46,0,0.28
1122,0,0,0,1001,0.46,0,0.3
1123,0,0,0,1000.9,0.46,0,0.32
1124,0,0,0,1000.8,0.46,0,0.34
1125,0,0,0,1000.7,0.46,0,0.36
1126,0,0,0,1000.5,0.46,0,0.38
1127,0,0,0,1000.4,0.46,0,0.4
1128,0,0,0,1000.3,0.46,0,0.42
1129,0,0,0,1000.2,0.46,0,0.44
1130,0,0,0,1000.1,0.46,0,0.46
1131,0,0,0,1000,0.46,0,0.48
1132,0,0,0,1002.5,0.48,0,0.02
1133,0,0,0,1002.4,0.48,0,0.04
1134,0,0,0,1002.3,0.48,0,0.06
1135,0,0,0,1002.2,0.48,0,0.08
1136,0,0,0,1002.1,0.48,0,0.1
1137,0,0,0,1001.9,0.48,0,0.12
1138,0,0,0,1001.8,0.48,0,0.14
1139,0,0,0,1001.7,0.48,0,0.16
1140,0,0,0,1001.6,0.48,0,0.18
1141,0,0,0,1001.5,0.48,0,0.2
1142,0,0,0,1001.4,0.48,0,0.22
1143,0,0,0,1001.3,0.48,0,0.24
1144,0,0,0,1001.2,0.48,0,0.26
1145,0,0,0,1001.1,0.48,0,0.28
1146,0,0,0,1001,0.48,0,0.3
1147,0,0,0,1000.9,0.48,0,0.32
1148,0,0,0,1000.8,0.48,0,0.34
1149,0,0,0,1000.7,0.48,0,0.36
1150,0,0,0,1000.5,0.48,0,0.38
1151,0,0,0,1000.4,0.48,0,0.4
1152,0,0,0,1000.3,0.48,0,0.42
1153,0,0,0,1000.2,0.48,0,0.44
1154,0,0,0,1000.1,0.48,0,0.46
1155,0,0,0,1000,0.48,0,0.48
1156,0,0,0,1002.5,0.5,0,0.02
1157,0,0,0,1002.4,0.5,0,0.04
1158,0,0,0,1002.3,0.5,0,0.06
1159,0,0,0,1002.2,0.5,0,0.08
1160,0,0,0,1002.1,0.5,0,0.1
1161,0,0,0,1001.9,0.5,0,0.12
1162,0,0,0,1001.8,0.5,0,0.14
1163,0,0,0,1001.7,0.5,0,0.16
1164,0,0,0,1001.6,0.5,0,0.18
1165,0,0,0,1001.5,0.5,0,0.2
1166,0,0,0,1001.4,0.5,0,0.22
