"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
214,0,0,0,1000,0,0,0,0,0,0.08,0,2.48
215,0,0,0,1000,0,0,0,0,0,0.08,0,2.52
216,0,0,0,1000,0,0,0,0,0,0.08,0,2.56
217,0,0,0,1000,0,0,0,0,0,0.08,0,2.6
218,0,0,0,1000,0,0,0,0,0,0.08,0,2.64
219,0,0,0,1000,0,0,0,0,0,0.08,0,2.68
220,0,0,0,1000,0,0,0,0,0,0.08,0,2.72
221,0,0,0,1000,0,0,0,0,0,0.08,0,2.76
222,0,0,0,1000,0,0,0,0,0,0.08,0,2.8
223,0,0,0,1000,0,0,0,0,0,0.08,0,2.84
224,0,0,0,1000,0,0,0,0,0,0.08,0,2.88
225,0,0,0,1000,0,0,0,0,0,0.08,0,2.92
226,0,0,0,1000,0,0,0,0,0,0.08,0,2.96
227,0,0,0,1000,0,0,0,0,0,0.08,0,3
306,0,0,0,1000,0,0,0,0,0,1.16,0,0
307,0,0,0,1000,0,0,0,0,0,1.16,0,0.04
308,0,0,0,1000,0,0,0,0,0,1.16,0,0.08
309,0,0,0,1000,0,0,0,0,0,1.2,0,0
310,0,0,0,1000,0,0,0,0,0,1.2,0,0.04
311,0,0,0,1000,0,0,0,0,0,1.2,0,0.08
312,0,0,0,1000,0,0,0,0,0,1.24,0,0
313,0,0,0,1000,0,0,0,0,0,1.24,0,0.04
314,0,0,0,1000,0,0,0,0,0,1.24,0,0.08
315,0,0,0,1000,0,0,0,0,0,1.28,0,0
316,0,0,0,1000,0,0,0,0,0,1.28,0,0.04
317,0,0,0,1000,0,0,0,0,0,1.28,0,0.08
318,0,0,0,1000,0,0,0,0,0,1.32,0,0
319,0,0,0,1000,0,0,0,0,0,1.32,0,0.04
320,0,0,0,1000,0,0,0,0,0,1.32,0,0.08
321,0,0,0,1000,0,0,0,0,0,1.36,0,0
322,0,0,0,1000,0,0,0,0,0,1.36,0,0.04
323,0,0,0,1000,0,0,0,0,0,1.36,0,0.08
324,0,0,0,1000,0,0,0,0,0,1.4,0,0
325,0,0,0,1000,0,0,0,0,0,1.4,0,0.04
326,0,0,0,1000,0,0,0,0,0,1.4,0,0.08
327,0,0,0,1000,0,0,0,0,0,1.44,0,0
328,0,0,0,1000,0,0,0,0,0,1.44,0,0.04
329,0,0,0,1000,0,0,0,0,0,1.44,0,0.08
330,0,0,0,1000,0,0,0,0,0,1.48,0,0
331,0,0,0,1000,0,0,0,0,0,1.48,0,0.04
332,0,0,0,1000,0,0,0,0,0,1.48,0,0.08
333,0,0,0,1000,0,0,0,0,0,1.52,0,0
334,0,0,0,1000,0,0,0,0,0,1.52,0,0.04
335,0,0,0,1000,0,0,0,0,0,1.52,0,0.08
336,0,0,0,1000,0,0,0,0,0,1.56,0,0
337,0,0,0,1000,0,0,0,0,0,1.56,0,0.04
338,0,0,0,1000,0,0,0,0,0,1.56,0,0.08
339,0,0,0,1000,0,0,0,0,0,1.6,0,0
340,0,0,0,1000,0,0,0,0,0,1.6,0,0.04
341,0,0,0,1000,0,0,0,0,0,1.6,0,0.08
342,0,0,0,1000,0,0,0,0,0,1.64,0,0
343,0,0,0,1000,0,0,0,0,0,1.64,0,0.04
344,0,0,0,1000,0,0,0,0,0,1.64,0,0.08
345,0,0,0,1000,0,0,0,0,0,1.68,0,0
346,0,0,0,1000,0,0,0,0,0,1.68,0,0.04
347,0,0,0,1000,0,0,0,0,0,1.68,0,0.08
348,0,0,0,1000,0,0,0,0,0,1.72,0,0
349,0,0,0,1000,0,0,0,0,0,1.72,0,0.04
350,0,0,0,1000,0,0,0,0,0,1.72,0,0.08
351,0,0,0,1000,0,0,0,0,0,1.76,0,0
352,0,0,0,1000,0,0,0,0,0,1.76,0,0.04
353,0,0,0,1000,0,0,0,0,0,1.76,0,0.08
354,0,0,0,1000,0,0,0,0,0,1.8,0,0
355,0,0,0,1000,0,0,0,0,0,1.8,0,0.04
356,0,0,0,1000,0,0,0,0,0,1.8,0,0.08
357,0,0,0,1000,0,0,0,0,0,1.84,0,0
358,0,0,0,1000,0,0,0,0,0,1.84,0,0.04
359,0,0,0,1000,0,0,0,0,0,1.84,0,0.08
360,0,0,0,1000,0,0,0,0,0,1.88,0,0
361,0,0,0,1000,0,0,0,0,0,1.88,0,0.04
362,0,0,0,1000,0,0,0,0,0,1.88,0,0.08
363,0,0,0,1000,0,0,0,0,0,1.92,0,0
364,0,0,0,1000,0,0,0,0,0,1.92,0,0.04
365,0,0,0,1000,0,0,0,0,0,1.92,0,0.08
366,0,0,0,1000,0,0,0,0,0,1.96,0,0
367,0,0,0,1000,0,0,0,0,0,1.96,0,0.04
368,0,0,0,1000,0,0,0,0,0,1.96,0,0.08
369,0,0,0,1000,0,0,0,0,0,2,0,0
370,0,0,0,1000,0,0,0,0,0,2,0,0.04
371,0,0,0,1000,0,0,0,0,0,2,0,0.08
372,0,0,0,1000,0,0,0,0,0,2.04,0,0
373,0,0,0,1000,0,0,0,0,0,2.04,0,0.04
374,0,0,0,1000,0,0,0,0,0,2.04,0,0.08
375,0,0,0,1000,0,0,0,0,0,2.08,0,0
376,0,0,0,1000,0,0,0,0,0,2.08,0,0.04
377,0,0,0,1000,0,0,0,0,0,2.08,0,0.08
378,0,0,0,1000,0,0,0,0,0,2.12,0,0
379,0,0,0,1000,0,0,0,0,0,2.12,0,0.04
380,0,0,0,1000,0,0,0,0,0,2.12,0,0.08
381,0,0,0,1000,0,0,0,0,0,2.16,0,0
382,0,0,0,1000,0,0,0,0,0,2.16,0,0.04
383,0,0,0,1000,0,0,0,0,0,2.16,0,0.08
384,0,0,0,1000,0,0,0,0,0,2.2,0,0
385,0,0,0,1000,0,0,0,0,0,2.2,0,0.04
386,0,0,0,1000,0,0,0,0,0,2.2,0,0.08
387,0,0,0,1000,0,0,0,0,0,2.24,0,0
388,0,0,0,1000,0,0,0,0,0,2.24,0,0.04
389,0,0,0,1000,0,0,0,0,0,2.24,0,0.08
390,0,0,0,1000,0,0,0,0,0,2.28,0,0
391,0,0,0,1000,0,0,0,0,0,2.28,0,0.04
392,0,0,0,1000,0,0,0,0,0,2.28,0,0.08
393,0,0,0,1000,0,0,0,0,0,2.32,0,0
394,0,0,0,1000,0,0,0,0,0,2.32,0,0.04
395,0,0,0,1000,0,0,0,0,0,2.32,0,0.08
396,0,0,0,1000,0,0,0,0,0,2.36,0,0
397,0,0,0,1000,0,0,0,0,0,2.36,0,0.04
398,0,0,0,1000,0,0,0,0,0,2.36,0,0.08
399,0,0,0,1000,0,0,0,0,0,2.4,0,0
400,0,0,0,1000,0,0,0,0,0,2.4,0,0.04
401,0,0,0,1000,0,0,0,0,0,2.4,0,0.08
402,0,0,0,1000,0,0,0,0,0,2.44,0,0
403,0,0,0,1000,0,0,0,0,0,2.44,0,0.04
404,0,0,0,1000,0,0,0,0,0,2.44,0,0.08
405,0,0,0,1000,0,0,0,0,0,2.48,0,0
406,0,0,0,1000,0,0,0,0,0,2.48,0,0.04
407,0,0,0,1000,0,0,0,0,0,2.48,0,0.08
408,0,0,0,1000,0,0,0,0,0,2.52,0,0
409,0,0,0,1000,0,0,0,0,0,2.52,0,0.04
410,0,0,0,1000,0,0,0,0,0,2.52,0,0.08
411,0,0,0,1000,0,0,0,0,0,2.56,0,0
412,0,0,0,1000,0,0,0,0,0,2.56,0,0.04
413,0,0,0,1000,0,0,0,0,0,2.56,0,0.08
414,0,0,0,1000,0,0,0,0,0,2.6,0,0
415,0,0,0,1000,0,0,0,0,0,2.6,0,0.04
416,0,0,0,1000,0,0,0,0,0,2.6,0,0.08
417,0,0,0,1000,0,0,0,0,0,2.64,0,0
