"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
1189,0,0,0,1001.6,12164,0,0,0,3,0.48,0,0.76
1235,0,0,0,1001.7,12949,0,0,0,3,0.52,0,0.68
1236,0,0,0,1001.7,12557,0,0,0,3,0.52,0,0.72
1237,0,0,0,1001.6,12164,0,0,0,3,0.52,0,0.76
1283,0,0,0,1001.7,12949,0,0,0,3,0.56,0,0.68
1284,0,0,0,1001.7,12557,0,0,0,3,0.56,0,0.72
1285,0,0,0,1001.6,12164,0,0,0,3,0.56,0,0.76
1331,0,0,0,1001.7,12949,0,0,0,3,0.6,0,0.68
1332,0,0,0,1001.7,12557,0,0,0,3,0.6,0,0.72
1333,0,0,0,1001.6,12164,0,0,0,3,0.6,0,0.76
1379,0,0,0,1001.7,12949,0,0,0,3,0.64,0,0.68
1380,0,0,0,1001.7,12557,0,0,0,3,0.64,0,0.72
1381,0,0,0,1001.6,12164,0,0,0,3,0.64,0,0.76
1427,0,0,0,1001.7,12949,0,0,0,3,0.68,0,0.68
1428,0,0,0,1001.7,12557,0,0,0,3,0.68,0,0.72
1429,0,0,0,1001.6,12164,0,0,0,3,0.68,0,0.76
1475,0,0,0,1001.7,12949,0,0,0,3,0.72,0,0.68
1476,0,0,0,1001.7,12557,0,0,0,3,0.72,0,0.72
1477,0,0,0,1001.6,12164,0,0,0,3,0.72,0,0.76
1523,0,0,0,1001.7,12949,0,0,0,3,0.76,0,0.68
1524,0,0,0,1001.7,12557,0,0,0,3,0.76,0,0.72
1525,0,0,0,1001.6,12164,0,0,0,3,0.76,0,0.76
1571,0,0,0,1001.7,12949,0,0,0,3,0.8,0,0.68
1572,0,0,0,1001.7,12557,0,0,0,3,0.8,0,0.72
1573,0,0,0,1001.6,12164,0,0,0,3,0.8,0,0.76
1619,0,0,0,1001.7,12949,0,0,0,3,0.84,0,0.68
1620,0,0,0,1001.7,12557,0,0,0,3,0.84,0,0.72
1621,0,0,0,1001.6,12164,0,0,0,3,0.84,0,0.76
1667,0,0,0,1001.7,12949,0,0,0,3,0.88,0,0.68
1668,0,0,0,1001.7,12557,0,0,0,3,0.88,0,0.72
1669,0,0,0,1001.6,12164,0,0,0,3,0.88,0,0.76
1715,0,0,0,1001.7,12949,0,0,0,3,0.92,0,0.68
1716,0,0,0,1001.7,12557,0,0,0,3,0.92,0,0.72
1717,0,0,0,1001.6,12164,0,0,0,3,0.92,0,0.76
1763,0,0,0,1001.7,12949,0,0,0,3,0.96,0,0.68
1764,0,0,0,1001.7,12557,0,0,0,3,0.96,0,0.72
1765,0,0,0,1001.6,12164,0,0,0,3,0.96,0,0.76
1811,0,0,0,1001.7,12949,0,0,0,3,1,0,0.68
1812,0,0,0,1001.7,12557,0,0,0,3,1,0,0.72
