"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
7176,0,0,0,1002.5,0.4,18835,0.00039902,-0.002372,0,-57.979,0,0,0,3,1,1.22,0,0.08
7177,0,0,0,1002.4,0.4,18639,0.00039903,-0.0023474,0,-0.17246,0,0,0,3,1,1.22,0,0.1
7273,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.24,0,0.06
7274,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.24,0,0.08
7275,0,0,0,1002.4,0.4,18639,0.00039903,1.1369e-13,0,-0.17245,0,0,0,3,1,1.24,0,0.1
7371,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.26,0,0.06
7372,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.26,0,0.08
7373,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17245,0,0,0,3,1,1.26,0,0.1
7469,0,0,0,1002.5,0.4,19031,0.00039901,0.0021033,0,-416.37,0,0,0,3,1,1.28,0,0.06
7470,0,0,0,1002.5,0.4,18835,0.00039902,0.002372,0,-57.979,0,0,0,3,1,1.28,0,0.08
7471,0,0,0,1002.4,0.4,18639,0.00039903,0.0023474,0,-0.17246,0,0,0,3,1,1.28,0,0.1
7567,0,0,0,1002.5,0.4,19031,0.00039901,0.0043349,0,-416.37,0,0,0,3,1,1.3,0,0.06
7568,0,0,0,1002.5,0.4,18835,0.00039902,0.0048256,0,-57.979,0,0,0,3,1,1.3,0,0.08
7569,0,0,0,1002.4,0.4,18639,0.00039903,0.0048211,0,-0.17248,0,0,0,3,1,1.3,0,0.1
7665,0,0,0,1002.5,0.4,19031,0.00039901,-0.0043349,0,-416.37,0,0,0,3,1,1.32,0,0.06
7666,0,0,0,1002.5,0.4,18835,0.00039902,-0.0048256,0,-57.979,0,0,0,3,1,1.32,0,0.08
7667,0,0,0,1002.4,0.4,18639,0.00039903,-0.0048211,0,-0.17248,0,0,0,3,1,1.32,0,0.1
7763,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021033,0,-416.37,0,0,0,3,1,1.34,0,0.06
